survey,ageGroup,measure,value,index
1,1,0,29,1
1,2,0,18,1
1,3,0,34,1
1,4,0,76,1
1,5,0,121,1
1,6,0,110,1
1,7,0,104,1
1,8,0,483,1
1,1,1,3,1
1,2,1,5,1
1,3,1,3,1
1,4,1,23,1
1,5,1,43,1
1,6,1,63,1
1,7,1,70,1
1,8,1,393,1
1,1,3,1,1
1,2,3,3,1
1,3,3,2,1
1,4,3,16,1
1,5,3,27,1
1,6,3,43,1
1,7,3,47,1
1,8,3,212,1
1,1,6,3,1
1,2,6,5,1
1,3,6,4,1
1,4,6,29,1
1,5,6,68,1
1,6,6,105,1
1,7,6,128,1
1,8,6,887,1
1,1,8,1,1
1,2,8,3,1
1,3,8,3,1
1,4,8,19,1
1,5,8,40,1
1,6,8,69,1
1,7,8,74,1
1,8,8,400,1
1,1,11,44,1
1,2,11,88,1
1,3,11,201,1
1,4,11,664,1
1,5,11,1014,1
1,6,11,896,1
1,7,11,579,1
1,8,11,1163,1
1,1,12,0,1
1,2,12,0,1
1,3,12,2,1
1,4,12,8,1
1,5,12,15,1
1,6,12,14,1
1,7,12,6,1
1,8,12,9,1
1,1,13,2,1
1,2,13,2,1
1,3,13,3,1
1,4,13,13,1
1,5,13,8,1
1,6,13,5,1
1,7,13,2,1
1,8,13,1,1
1,1,14,181,1
1,2,14,220,1
1,3,14,412,1
1,4,14,1365,1
1,5,14,2375,1
1,6,14,2316,1
1,7,14,1723,1
1,8,14,4059,1
1,1,15,4,1
1,2,15,6,1
1,3,15,7,1
1,4,15,29,1
1,5,15,19,1
1,6,15,15,1
1,7,15,5,1
1,8,15,3,1
1,1,16,0,1
1,2,16,0,1
1,3,16,0,1
1,4,16,0,1
1,5,16,0,1
1,6,16,0,1
1,7,16,1,1
1,8,16,0,1
1,1,18,2,1
1,2,18,2,1
1,3,18,5,1
1,4,18,0,1
1,5,18,4,1
1,6,18,1,1
1,7,18,0,1
1,8,18,0,1
1,1,19,1,1
1,2,19,0,1
1,3,19,2,1
1,4,19,2,1
1,5,19,3,1
1,6,19,2,1
1,7,19,0,1
1,8,19,1,1
1,0,35,0.0684932,1
1,0,36,0.0646196,1
1,1,74,0.502885,1
1,2,74,0.658466,1
1,3,74,0.694907,1
1,4,74,2.24445,1
1,5,74,1.79675,1
1,6,74,2.18875,1
1,7,74,1.08119,1
1,8,74,0.556973,1
1,1,76,1.4814,1
1,2,76,1.36167,1
1,3,76,1.37227,1
1,4,76,2.12708,1
1,5,76,1.54004,1
1,6,76,0.795682,1
1,7,76,0.337669,1
1,8,76,0.401066,1
1,1,78,7.4926,1
1,2,78,8.03359,1
1,3,78,11.2331,1
1,4,78,23.7554,1
1,5,78,18.9923,1
1,6,78,9.15449,1
1,7,78,3.11815,1
1,8,78,2.74821,1
2,1,0,30,1
2,2,0,18,1
2,3,0,28,1
2,4,0,76,1
